Move,Frame,Shoulder-Elbow (Left),Shoulder-Elbow (Right),Hip-Knee (Left),Hip-Knee (Right),Ankle-Foot (Left),Ankle-Foot (Right)
훅,28,107.07793221240543,111.01442592086298,27.63968181193128,49.461376046283995,42.43030010226885,17.293680515216135
훅,29,109.30401996026485,110.09715653550833,26.196768733634293,50.556610897696075,41.7583260882955,22.418986614497925
훅,30,113.11253202993039,109.45189929584672,24.23221764199871,51.17484119994589,39.70441857383104,30.17927183763384
훅,31,118.02149497381428,110.24951844946978,22.109863643344116,50.96474687901734,39.24036231952343,37.85937318372012
훅,32,125.5654648472751,118.98083298598385,20.321024777907166,47.36793604286159,38.787267308022,40.58650356349927
훅,33,133.56606387122793,129.0455550147435,18.84420875937811,43.035314474468485,39.587358751689045,43.111871637665764
훅,34,140.40599122271684,137.18846866998672,17.78974736668584,39.46756148718234,43.05350613818123,49.30452414916395
훅,35,145.39376937057287,144.4188561971533,17.161132607040763,36.53119953549309,47.68722133211171,53.32955771895812
훅,36,149.25609668757528,151.09580814440613,16.852162570313094,34.3628588799685,51.71478373958648,53.989403462879885
훅,37,151.47786138358325,153.2460278090523,16.426505661786845,33.07607900839135,55.97580247630517,57.61320071834116
훅,38,153.205878545136,154.7883749046453,16.10072708732423,31.966840430598136,59.59671215668332,59.89899567152759
훅,39,154.78735591787722,156.6036163336293,15.854038803518089,31.2207542629478,61.98703259799909,59.7164325181662
훅,40,155.96569372129838,158.56926258731707,15.675873445887524,30.55124315498282,64.63887251823427,59.08787631828238
훅,41,156.7719230987131,159.8298935192866,15.520915602369602,30.05641325547262,65.86746748483176,60.964410847949424
훅,42,156.70966388943728,160.57117073187754,15.386563635695115,29.80387474234441,66.78283212938756,63.273380286799714
훅,43,156.22965172120922,160.34710701060968,15.279610850536011,29.948644016157505,67.37098208422746,64.7290638880311
훅,44,155.50475069634794,160.2786311837835,15.211006867902103,30.026331457854315,68.04883258388543,66.5616548812151
훅,45,154.78634177634427,160.2265610865014,15.096883968148948,30.045761532955062,68.63897139990854,68.77187278945225
훅,46,154.1563866410773,160.00486924484724,14.967882497710187,29.99946648438779,69.50016883964993,72.08501151474805
훅,1,153.25372795534204,159.24047317607005,13.340108518377226,32.95712916320639,54.51178887571441,66.16817515722738
훅,2,153.7737279273406,159.54780330921818,13.70657998519355,33.20452656768887,52.636314625566996,63.31140222924239
훅,3,153.94500780007976,158.88600578800725,13.821532425562744,33.6067726171252,52.75493537207203,63.13177003231095
훅,4,154.6501200975508,159.01145530996558,14.085104774429414,33.763347153986,53.92730477005145,64.4894013631395
훅,5,155.2675714729607,160.94769924099933,14.496519564325336,33.20081375161313,54.89122419326154,65.68529387684586
훅,6,156.25139512368258,162.70288080143715,15.010370738235883,32.84141508327535,57.467104628747656,67.85894785606271
훅,7,155.05007838195036,161.716688720183,14.865723552457979,32.981363048906054,61.633290832696524,73.13480800581331
훅,8,146.67812390077606,163.87607988416306,15.110610993971187,30.87664726527195,66.12139077497147,78.04348139078238
훅,9,132.24250126744477,165.0530643687053,17.09028186777272,26.875599243163116,71.82887253256914,82.93043079260559
훅,10,118.02321057480333,165.14193961584206,18.249747190944515,24.66827778300462,76.42646331851081,86.12708200450247
훅,11,105.1997070570092,156.37459199340603,18.094357446915723,26.005641359517007,72.26908696912201,86.6776661841337
훅,12,97.11208958787259,147.19411210385726,19.321970719239054,28.33826897593405,65.40664673606459,86.60336939231476
